"fromId","mean_score","lat","lon","pop","amn_density","trafficScore","need","efficiency"
"59153111002",0.45,49.1503,-123.133,0.37,0.35,0.35,0.24,0.1875
"59153111003",0.43,49.15,-123.1343,0.2,0.35,0.35,0.17,0.239583333333333
"59153111004",0.44,49.1491,-123.1343,0.92,0.35,0.35,0.54,-0.135416666666667
"59153113001",0.76,49.1578,-123.1381,0.99,0.4,0.35,0.62,0.114583333333333
"59153113007",0.92,49.1619,-123.1384,0.3,0.37,0.35,0.22,0.697916666666667
"59153113008",0.93,49.1606,-123.1384,0.71,0.39,0.35,0.43,0.489583333333333
"59153114002",0.85,49.1587,-123.1396,0.86,0.4,0.35,0.53,0.302083333333333
"59153114005",0.78,49.1576,-123.1393,0.36,0.4,0.35,0.26,0.510416666666667
"59153121001",0.22,49.1457,-123.1939,0.13,0.29,0.22,0.08,0.114583333333333
"59153121002",0.28,49.1444,-123.1916,0.99,0.29,0.22,0.46,-0.21875
"59153122001",0.21,49.1463,-123.1912,0.37,0.29,0.22,0.16,0.0208333333333333
"59153122002",0.24,49.1455,-123.1889,0.47,0.29,0.22,0.2,0.0104166666666667
"59153122003",0.26,49.1463,-123.1872,0.61,0.29,0.22,0.26,-0.03125
"59153122004",0.25,49.1471,-123.1872,0.67,0.29,0.22,0.29,-0.0729166666666667
"59153123001",0.85,49.2695,-123.1563,0.87,0.89,0.51,0.91,-0.0937500000000001
"59153123002",0.88,49.2686,-123.1563,0.83,0.89,0.65,0.95,-0.104166666666667
"59153124001",0.82,49.2704,-123.1562,0.88,0.89,0.51,0.91,-0.125
"59153132001",1,49.2657,-123.1373,0.93,0.99,0.87,1,-0.03125
"59153132002",1,49.2649,-123.1373,0.43,0.99,0.87,0.92,0.0520833333333333
"59153132003",1,49.264,-123.1373,0.3,0.99,0.87,0.85,0.125
"59153132004",0.99,49.264,-123.1349,0.27,0.99,0.87,0.83,0.135416666666667
"59153132005",0.98,49.2649,-123.1349,0.67,0.99,0.87,0.99,-0.0416666666666667
"59153132010",0.98,49.2658,-123.1347,0.88,0.98,0.87,1,-0.0520833333333334
"59153132011",0.95,49.2657,-123.1324,0.83,0.98,0.87,1,-0.0833333333333334
"59153133001",0.96,49.2648,-123.1325,0.77,0.98,0.87,1,-0.0729166666666667
"59153133002",0.96,49.264,-123.1325,0.73,0.98,0.87,0.99,-0.0625000000000001
"59153133003",0.94,49.2639,-123.1302,0.81,0.99,0.87,1,-0.0937500000000001
"59153133004",0.92,49.2639,-123.1278,0.57,0.99,0.87,0.97,-0.0833333333333333
"59153134001",0.98,49.263,-123.1326,0.82,0.99,0.87,1,-0.0520833333333334
"59153134002",0.97,49.2621,-123.1326,0.89,0.99,0.98,1,-0.0625000000000001
