,Player,Stage,career_FG_%,career_FT_%,career_3PT_%,Minutes_per_game
344,Cristiano Felicio,Playoffs,60.0,50.0,,13.68
345,Cristiano Felicio,Regular_Season,55.75,66.27,0.0,14.18
346,Cuttino Mobley,Playoffs,42.01,84.78,31.58,38.21
347,Cuttino Mobley,Regular_Season,43.32,83.55,38.0,37.5
348,D'Angelo Russell,Playoffs,35.92,84.62,32.43,29.58
349,D'Angelo Russell,Regular_Season,41.98,76.67,35.93,29.1
350,D.J. Augustin,Playoffs,36.84,87.37,38.98,21.02
351,D.J. Augustin,Regular_Season,41.48,86.85,38.02,24.21
352,D.J. White,Regular_Season,49.29,70.49,100.0,18.93
353,Daequan Cook,Playoffs,36.3,75.0,33.0,11.62
354,Daequan Cook,Regular_Season,37.3,80.77,37.24,21.38
355,Dahntay Jones,Playoffs,46.0,76.6,35.29,18.47
356,Dahntay Jones,Regular_Season,44.24,76.21,32.21,17.95
357,Dale Davis,Playoffs,50.0,59.82,,27.93
358,Dale Davis,Regular_Season,50.42,65.6,0.0,26.8
359,Damian Jones,Regular_Season,69.05,71.07,22.22,16.41
360,Damian Lillard,Playoffs,40.57,87.95,35.57,40.18
361,Damian Lillard,Regular_Season,43.72,88.88,37.28,36.39
362,Damien Wilkins,Playoffs,44.44,44.44,27.27,19.43
363,Damien Wilkins,Regular_Season,42.34,80.27,33.33,20.83
364,Damion Lee,Regular_Season,41.68,87.3,35.56,29.03
365,Damon Jones,Playoffs,43.58,65.96,38.55,21.17
366,Damon Jones,Regular_Season,41.25,72.89,39.25,22.87
367,Damon Stoudamire,Playoffs,41.13,90.16,38.46,30.76
368,Damon Stoudamire,Regular_Season,41.1,87.11,36.7,34.43
369,Damyean Dotson,Regular_Season,41.5,72.52,36.63,23.47
370,Dan Dickau,Regular_Season,40.48,83.33,34.69,29.44
371,Dan Gadzuric,Playoffs,52.94,25.0,,10.87
372,Dan Gadzuric,Regular_Season,53.83,50.74,0.0,17.08
373,Dan Majerle,Playoffs,40.23,66.67,37.5,34.08
374,Dan Majerle,Regular_Season,40.28,81.16,36.18,33.45
375,Dana Barros,Regular_Season,45.06,86.84,40.97,15.82
376,Daniel Ewing,Regular_Season,38.04,78.26,28.21,14.72
377,Daniel Gibson,Playoffs,41.88,86.76,41.18,19.08
378,Daniel Gibson,Regular_Season,40.11,75.2,39.31,20.61
379,Daniel Theis,Playoffs,52.14,78.79,15.38,28.35
380,Daniel Theis,Regular_Season,55.46,75.28,34.39,17.57
381,Danilo Gallinari,Playoffs,37.8,87.04,30.51,31.3
382,Danilo Gallinari,Regular_Season,43.73,87.0,39.6,32.12
383,Danny Ferry,Playoffs,34.88,25.0,40.0,15.13
384,Danny Ferry,Regular_Season,44.49,74.42,42.13,15.79
385,Danny Fortson,Playoffs,57.14,80.0,,9.55
386,Danny Fortson,Regular_Season,45.04,83.39,25.0,23.47
387,Danny Granger,Playoffs,41.72,84.21,35.82,25.69
388,Danny Granger,Regular_Season,43.82,84.75,38.44,33.24
389,Danny Green,Playoffs,40.37,75.26,38.78,26.28
390,Danny Green,Regular_Season,42.35,80.79,40.14,26.13
391,Danny Manning,Playoffs,55.88,75.0,100.0,19.2
392,Danny Manning,Regular_Season,47.2,70.83,25.0,16.38
393,Dante Cunningham,Playoffs,81.82,100.0,,18.82
394,Dante Cunningham,Regular_Season,46.76,64.9,34.62,21.73
395,Dante Exum,Playoffs,45.59,83.33,31.58,11.61
396,Dante Exum,Regular_Season,38.51,74.29,30.75,20.57
397,Danuel House,Playoffs,39.34,66.67,32.14,26.24
398,Danuel House,Regular_Season,42.67,81.11,36.34,30.36
399,Dario Saric,Playoffs,42.14,85.0,38.46,32.85
400,Dario Saric,Regular_Season,44.05,83.69,35.82,26.45
401,Darius Bazley,Playoffs,41.94,90.0,50.0,17.99
402,Darius Bazley,Regular_Season,39.43,69.35,34.75,18.52
403,Darius Garland,Regular_Season,40.06,87.5,35.47,30.92
404,Darius Miles,Regular_Season,48.99,59.18,14.1,26.61
