"fromId","mean_score","pop_norm","prox_score","scoreCorrection","eff","eff_ravg","pop.y","lat.y","lon.y"
"59150028012",0.107133434976154,0.0405861456483126,0.211510167115359,0.444906987221853,0.92275632673508,NA,123,49.335,-123.1808
"59150028013",0.107133434976154,0.0264120781527531,0.189278683449958,0.444906987221853,0.924320364135832,NA,66,49.3349,-123.184
"59150028014",0.0859898581853366,0.0162166962699822,0.183888360909488,0.382444221609426,0.925377946518972,NA,25,49.3358,-123.1871
"59150028015",0.0796773793763517,0.0147246891651865,0.01,0.382444221609426,0.88352467484185,NA,19,49.3364,-123.1897
"59150028017",0.101799265655265,0.0249200710479574,0.222330874980802,0.444906987221853,0.924782456633736,NA,60,49.3338,-123.1809
"59150028018",0.0943724233753366,0.0371047957371226,0.183165349909456,0.412199171983309,0.922082897808913,NA,109,49.3362,-123.1856
"59150028019",0.11867140855753,0.0124866785079929,0.214196689390984,0.444906987221853,0.927522694118098,NA,10,49.3343,-123.1808
"59150029001",0.073364344054329,0.0174600355239787,0.01,0.382444221609426,0.874858691969432,NA,30,49.338,-123.1895
"59150029002",0.0750116447563146,0.0251687388987567,0.181400045137605,0.382444221609426,0.923009640345256,NA,61,49.338,-123.1872
"59150029003",0.078074141538108,0.0172113676731794,0.181400045137605,0.382444221609426,0.924559556131364,NA,29,49.3373,-123.1868
"59150029005",0.082398072162554,0.0236767317939609,0.182297822565496,0.444906987221853,0.922947887326576,NA,55,49.338,-123.1839
"59150029006",0.0773613046793085,0.0276554174067496,0.205380839576547,0.444906987221853,0.922466968582208,NA,71,49.3379,-123.1807
"59150029007",0.0933006587337182,0.0264120781527531,0.206075739174751,0.444906987221853,0.923731235313391,NA,66,49.337,-123.1807
"59150029008",0.101769725767547,0.0137300177619893,0.211510167115359,0.444906987221853,0.92618987578356,NA,15,49.336,-123.1806
"59150029010",0.0971732480884221,0.0338721136767318,0.191719694318698,0.444906987221853,0.92254195315366,NA,96,49.3369,-123.1838
"59150030001",0.0551247255680284,0.0147246891651865,0.01,0.382444221609426,0.881606502143034,NA,19,49.3409,-123.1894
"59150030004",0.0674801911089113,0.0152220248667851,0.01,0.382444221609426,0.881085811577187,NA,21,49.339,-123.1893
"59150030005",0.0724984584946518,0.0251687388987567,0.180138793686017,0.382444221609426,0.922784272771679,NA,61,49.3389,-123.1871
"59150030006",0.0625962370082986,0.0221847246891652,0.180138793686017,0.382444221609426,0.922505601316321,NA,49,49.3399,-123.1871
"59150030007",0.0538960078674766,0.0269094138543517,0.174749442507156,0.382444221609426,0.920904595279002,NA,68,49.3409,-123.1871
"59150030008",0.0685234770043362,0.0274067495559503,0.181338402105062,0.444906987221853,0.921381006483032,NA,70,49.3408,-123.1838
"59150030009",0.0685234770043362,0.0224333925399645,0.180387123847373,0.444906987221853,0.922180954230962,NA,50,49.3399,-123.1839
"59150030010",0.0748900198168137,0.0216873889875666,0.180387123847373,0.444906987221853,0.922732073269763,NA,47,49.3389,-123.1839
"59150030011",0.0773613046793085,0.0224333925399645,0.202312729020185,0.444906987221853,0.923177165937335,NA,50,49.3388,-123.1807
"59150030012",0.0678398166546292,0.0264120781527531,0.203722897364664,0.444906987221853,0.921977147079323,NA,66,49.3398,-123.1806
"59150030013",0.0631145105986668,0.0112433392539964,0.01,0.382444221609426,0.892632420271145,NA,5,49.34,-123.1894
"59150031003",0.0662497205888691,0.0565008880994671,0.199719995154051,0.444906987221853,0.917291394123382,NA,187,49.3415,-123.1799
"59150031004",0.0506980547819446,0.0261634103019538,0.01,0.382444221609426,0.847083598059105,NA,65,49.3422,-123.1874
"59150031005",0.0515266392869967,0.0159680284191829,0.01,0.382444221609426,0.877610503121761,NA,24,49.3421,-123.1894
