id,subdiv,pop,lat,lon
59150105010,North Vancouver,33,49.3448,-123.0953
59150106001,North Vancouver,20,49.3506,-123.097
59150106003,North Vancouver,86,49.3421,-123.1037
59150106004,North Vancouver,32,49.3398,-123.1061
59150106005,North Vancouver,58,49.3409,-123.1034
59150106006,North Vancouver,38,49.3404,-123.1008
59150106008,North Vancouver,646,49.3457,-123.0988
59150107001,North Vancouver,296,49.3452,-123.1078
59150107002,North Vancouver,100,49.3442,-123.1051
59150107003,North Vancouver,67,49.3426,-123.1044
59150108001,North Vancouver,326,49.3437,-123.109
59150109001,North Vancouver,414,49.3415,-123.1113
59150109002,North Vancouver,29,49.3402,-123.1122
59150109003,North Vancouver,29,49.3414,-123.1092
59150109004,North Vancouver,61,49.3404,-123.1087
59150109005,North Vancouver,36,49.3397,-123.1085
59150109006,North Vancouver,17,49.3404,-123.107
59150110001,North Vancouver,54,49.3388,-123.1152
59150110004,North Vancouver,66,49.3356,-123.1124
59150110005,North Vancouver,415,49.338,-123.1117
59150111002,North Vancouver,251,49.3342,-123.1144
59150111003,North Vancouver,40,49.3334,-123.111
59150111004,North Vancouver,91,49.3338,-123.1104
59150111007,North Vancouver,153,49.3363,-123.117
59150112001,North Vancouver,0,49.339,-123.1029
59150112002,North Vancouver,0,49.3384,-123.1027
59150112003,North Vancouver,0,49.3381,-123.1033
59150112004,North Vancouver,0,49.3376,-123.1028
59150112005,North Vancouver,37,49.3381,-123.1019
59150112006,North Vancouver,10,49.337,-123.1019
59150112007,North Vancouver,101,49.3357,-123.1021
59150112008,North Vancouver,10,49.3361,-123.1019
59150112009,North Vancouver,69,49.3355,-123.1
59150112010,North Vancouver,23,49.334,-123.0978
59150112012,North Vancouver,16,49.3371,-123.1036
59150112014,North Vancouver,15,49.3333,-123.1062
59150112017,North Vancouver,448,49.3353,-123.1047
59150113002,North Vancouver,27,49.3289,-123.1151
59150113005,North Vancouver,808,49.3285,-123.1135
59150114001,North Vancouver,36,49.332,-123.1116
59150114002,North Vancouver,48,49.3315,-123.1117
59150114003,North Vancouver,91,49.3315,-123.1089
59150114004,North Vancouver,72,49.3305,-123.1117
59150114005,North Vancouver,75,49.3293,-123.1118
59150114006,North Vancouver,126,49.3289,-123.114
59150114007,North Vancouver,82,49.3281,-123.1117
59150115001,North Vancouver,71,49.3305,-123.109
59150115003,North Vancouver,0,49.3282,-123.109
59150115004,North Vancouver,85,49.327,-123.1089
59150115005,North Vancouver,67,49.3282,-123.1062
59150115007,North Vancouver,164,49.3293,-123.1076
59150116001,North Vancouver,91,49.3314,-123.1061
59150116002,North Vancouver,70,49.3305,-123.1062
59150116003,North Vancouver,85,49.3304,-123.1034
59150116004,North Vancouver,15,49.3314,-123.1034
