fromId,type,avg_time,toId,sd_time,time_group
59150394002,gallery,34.64103,2207,2.045369,30-45
59150394002,library or archives,19.17949,3973,1.315331,15-30
59150394002,museum,34.61538,9348,1.648211,30-45
59150394002,theatre/performance and concert hall,34.61538,6954,1.648211,30-45
59150394003,gallery,34,3140,1.877849,30-45
59150394003,library or archives,16.84615,3973,0.3655178,15-30
59150394003,museum,33.97436,9348,1.307613,30-45
59150394003,theatre/performance and concert hall,33.12821,7821,1.575795,30-45
59150395001,gallery,31.30769,3140,1.749494,30-45
59150395001,library or archives,19.5641,3973,1.916615,15-30
59150395001,museum,28.46154,9348,1.047457,15-30
59150395001,theatre/performance and concert hall,28.46154,6954,1.047457,15-30
59150395002,gallery,30.05128,3140,1.805674,30-45
59150395002,library or archives,17.66667,3973,1.977949,15-30
59150395002,museum,27.25641,9348,1.093472,15-30
59150395002,theatre/performance and concert hall,27.25641,6954,1.093472,15-30
59150395003,gallery,34.92308,3140,1.840832,30-45
59150395003,library or archives,21.71795,3973,1.450022,15-30
59150395003,museum,29.94872,9348,0.9444775,45-60
59150395003,theatre/performance and concert hall,29.94872,6954,0.9444775,45-60
59150396001,gallery,32.10256,3140,1.635058,30-45
59150396001,library or archives,21.35897,8405,0.7775528,15-30
59150396001,museum,24.97436,9348,1.135253,15-30
59150396001,theatre/performance and concert hall,24.97436,6954,1.135253,15-30
59150396002,gallery,29.38462,3140,1.771342,45-60
59150396002,library or archives,18.76923,3973,2.083286,15-30
59150396002,museum,24.33333,9348,1.108183,15-30
59150396002,theatre/performance and concert hall,24.33333,6954,1.108183,15-30
59150396003,gallery,32.87179,3140,1.74988,30-45
59150396003,library or archives,20.69231,3973,1.703771,15-30
59150396003,museum,27.87179,9348,0.9781693,15-30
59150396003,theatre/performance and concert hall,27.87179,6954,0.9781693,15-30
59150396004,gallery,35.05128,3140,1.863058,30-45
59150396004,library or archives,21.61538,3973,1.369122,15-30
59150396004,museum,31.25641,9348,0.9925498,30-45
59150396004,theatre/performance and concert hall,31.25641,6954,0.9925498,30-45
59150397001,gallery,31.64103,5638,2.096202,30-45
59150397001,library or archives,21.12821,8405,0.6561245,15-30
59150397001,museum,24.76923,9348,1.012073,15-30
59150397001,theatre/performance and concert hall,24.76923,6954,1.012073,15-30
59150397002,gallery,33.53846,5638,1.930996,30-45
59150397002,library or archives,23.23077,5134,1.54684,15-30
59150397002,museum,27.94872,9348,0.8568215,15-30
59150397002,theatre/performance and concert hall,27.94872,6954,0.8568215,15-30
59150397003,gallery,32.46154,5638,1.917319,30-45
59150397003,library or archives,22.15385,5134,1.513769,15-30
59150397003,museum,26.87179,9348,1.004712,15-30
59150397003,theatre/performance and concert hall,26.87179,6954,1.004712,15-30
59150398001,gallery,29.53846,5638,2.011103,45-60
59150398001,library or archives,19.20513,8405,0.8006408,15-30
59150398001,museum,22.69231,9348,1.079811,15-30
59150398001,theatre/performance and concert hall,22.69231,6954,1.079811,15-30
59150398002,gallery,30.4359,5638,2.062126,30-45
59150398002,library or archives,19.94872,8405,0.6862836,15-30
59150398002,museum,23.58974,9348,0.9925498,15-30
59150398002,theatre/performance and concert hall,23.58974,6954,0.9925498,15-30
59150398003,gallery,31.33333,5638,2.168353,30-45
59150398003,library or archives,20.17949,5134,1.354754,15-30
59150398003,museum,26.20513,9348,1.030572,15-30
59150398003,theatre/performance and concert hall,26.20513,6954,1.030572,15-30
59150399001,gallery,28.79487,5638,2.117341,15-30
59150399001,library or archives,17.71795,8405,0.5595448,15-30
59150399001,museum,21.48718,9348,1.022685,15-30
59150399001,theatre/performance and concert hall,21.48718,6954,1.022685,15-30
59150399002,gallery,27.58974,5638,2.035448,15-30
59150399002,library or archives,17.05128,8405,0.7591102,15-30
59150399002,museum,20.64103,9348,1.087904,15-30
59150399002,theatre/performance and concert hall,20.64103,6954,1.087904,15-30
59150399003,gallery,27.92308,5638,2.044049,15-30
59150399003,library or archives,17.64103,8405,0.810691,15-30
59150399003,museum,21.25641,9348,1.044231,15-30
59150399003,theatre/performance and concert hall,21.25641,6954,1.044231,15-30
59150400004,gallery,28.30769,5638,2.117022,15-30
59150400004,library or archives,18.07692,5134,1.285232,15-30
59150400004,museum,22.28205,9348,0.9986496,15-30
59150400004,theatre/performance and concert hall,22.28205,6954,0.9986496,15-30
59150400005,gallery,27.69231,5638,2.041076,15-30
59150400005,library or archives,16.48718,8405,0.7904627,15-30
59150400005,museum,20.07692,9348,1.060899,15-30
