DAUID,DBPOP,lat,lon
59150120,66,49.3476,-123.1084
59150120,49,49.3481,-123.1044
59150121,26,49.3478,-123.0994
59150121,29,49.3481,-123.1013
59150121,86,49.3481,-123.1025
59150121,421,49.3506,-123.1008
59150122,228,49.3543,-123.1055
59150122,132,49.3516,-123.1059
59150122,52,49.3549,-123.1035
59150122,86,49.3553,-123.1026
59150122,24,49.3558,-123.1016
59150123,207,49.3585,-123.1033
59150123,102,49.3567,-123.1046
59150123,77,49.3567,-123.1014
59150123,122,49.3581,-123.0984
59150123,86,49.3567,-123.0984
59150123,236,49.3576,-123.1032
59150124,29,49.3554,-123.0995
59150124,123,49.3554,-123.09700000000001
59150124,85,49.3543,-123.0965
59150124,68,49.3528,-123.0965
59150124,10,49.3513,-123.0952
59150124,79,49.3506,-123.0953
59150124,111,49.3511,-123.0937
59150124,72,49.3516,-123.0929
59150124,44,49.3553,-123.0939
59150124,85,49.3534,-123.094
59150124,98,49.3513,-123.0915
59150124,19,49.3523,-123.09100000000001
59150125,146,49.3586,-123.0938
59150125,89,49.3576,-123.0922
59150125,86,49.3567,-123.0922
59150125,76,49.3567,-123.0953
59150125,95,49.3576,-123.0953
59150126,41,49.3554,-123.0911
59150126,77,49.3553,-123.0893
59150126,140,49.3539,-123.0884
59150126,73,49.354,-123.0868
59150126,82,49.3531,-123.0888
59150126,72,49.3535,-123.0915
59150126,101,49.3549,-123.0926
59150126,64,49.3513,-123.0893
59150126,72,49.3522,-123.0891
59150127,189,49.3603,-123.0915
59150127,105,49.3569,-123.0877
59150127,63,49.3563,-123.0892
59150127,52,49.355,-123.0868
59150127,195,49.3553,-123.0835
59150127,232,49.3586,-123.0862
59150127,0,49.3568,-123.081
59150129,72,49.349,-123.0941
59150129,59,49.348,-123.094
59150129,50,49.3473,-123.0941
59150129,5,49.3472,-123.0922
59150129,97,49.3483,-123.0917
59150129,76,49.3484,-123.0906
59150129,51,49.3488,-123.0896
59150129,35,49.3492,-123.0886
59150129,62,49.3502,-123.0893
59150130,39,49.351000000000006,-123.0848
59150130,197,49.3509,-123.0823
59150130,489,49.3469,-123.0854
59150131,45,49.3495,-123.08200000000001
59150131,56,49.3483,-123.08200000000001
59150131,87,49.3483,-123.0805
59150131,78,49.3473,-123.0821
59150131,98,49.348,-123.0788
59150131,188,49.3469,-123.0763
59150132,265,49.3535,-123.0805
59150132,59,49.3517,-123.0795
59150132,449,49.3505,-123.0775
59150132,0,49.3495,-123.0748
59150133,19,49.3447,-123.0778
59150133,22,49.3447,-123.0766
59150133,189,49.3439,-123.0748
59150133,55,49.3447,-123.0728
59150133,28,49.3437,-123.0778
59150133,10,49.3428,-123.0767
59150133,55,49.3424,-123.0738
59150133,10,49.3429,-123.0731
59150133,23,49.3428,-123.0722
59150133,5,49.3419,-123.0723
59150134,93,49.3448,-123.0828
59150134,393,49.3436,-123.0802
59150135,83,49.3414,-123.0762
59150135,35,49.3404,-123.0761
59150135,59,49.3407,-123.0778
59150135,71,49.3397,-123.0761
59150135,57,49.3388,-123.0762
59150135,125,49.3388,-123.0735
59150135,61,49.3397,-123.0735
59150135,36,49.3404,-123.0738
59150135,36,49.3409,-123.0722
59150135,45,49.3415,-123.0743
59150136,63,49.3392,-123.079
59150136,48,49.3392,-123.0779
59150136,70,49.3379,-123.0774
59150136,143,49.336999999999996,-123.0774
59150136,91,49.336999999999996,-123.081
59150136,64,49.3379,-123.081
59150137,36,49.3361,-123.0805
59150137,58,49.3361,-123.0774
59150137,183,49.3361,-123.0736
59150137,107,49.336999999999996,-123.0735
59150137,146,49.3379,-123.0735
59150140,153,49.3349,-123.0712
59150140,91,49.3349,-123.0697
59150140,147,49.3337,-123.0705
