id,lat,lon,type,name,city,city_id
9360,49.2804357,-123.1151119,library or archives,Vancouver Public Library,Vancouver,5915022
9363,49.280207,-123.119792,theatre/performance and concert hall,Vancouver Symphony Orchestra School of Music - Recital Hall (Pyatt Hall),Vancouver,5915022
9441,49.2847803,-123.0466984,library or archives,Vivo Media Arts Centre,Vancouver,5915022
9442,49.2799671,-123.1218259,theatre/performance and concert hall,Vogue Theatre,Vancouver,5915022
9482,49.163691,-122.640499,library or archives,Walnut Grove Library,Langley,5915001
9505,49.270119,-123.135508,theatre/performance and concert hall,Waterfront Theatre,Vancouver,5915022
9564,49.26388,-123.20762,library or archives,West Point Grey Branch,Vancouver,5915022
9567,49.329034,-123.16538,library or archives,West Vancouver Memorial Library,West Vancouver,5915055
9569,49.3335234,-123.1601822,museum,West Vancouver Museum,West Vancouver,5915055
9570,49.33068623,-123.1640427,museum,West Vancouver Museum And Archives,West Vancouver,5915055
9580,49.263916,-123.098654,gallery,Western Front - Gallery,Vancouver,5915022
9581,49.263894,-123.098716,theatre/performance and concert hall,Western Front - Luxe Hall,Vancouver,5915022
9622,49.023902,-122.796236,library or archives,White Rock Library,White Rock,5915007
9623,49.0221917,-122.8086382,museum,White Rock Museum And Archives,White Rock,5915007
9644,49.2794145,-123.0757838,museum,Wil Aballe Art Projects,Vancouver,5915022
9670,49.11490646,-122.6757778,gallery,Willowbrook Art Gallery,Langley,5915001
9690,49.2689553,-123.0984496,gallery,Winsor Gallery,Vancouver,5915022
9694,49.2772414,-123.0660915,theatre/performance and concert hall,Wise Club Hall,Vancouver,5915022
9728,49.282541,-123.107579,theatre/performance and concert hall,Woodward's Atrium,Vancouver,5915022
9766,49.2786795,-123.0707458,theatre/performance and concert hall,York Theatre,Vancouver,5915022
9780,49.2600654,-123.1151069,theatre/performance and concert hall,Yuk Yuk's Comedy Club,Vancouver,5915022
9787,49.14061431,-122.63683,heritage or historic site,Zemi Cultural Heritage Services,Langley,5915001
