"fromId","type","time_groups","pop"
"59150033008","theatre/performance and concert hall","90",343
"59150033009","gallery","45",0
"59150033009","library or archives","45",0
"59150033009","museum","45",0
"59150033009","theatre/performance and concert hall","60",0
"59150033010","gallery","90",0
"59150033010","library or archives","90",0
"59150033010","museum","90",0
"59150033010","theatre/performance and concert hall","90+",0
"59150033011","gallery","90+",0
"59150033011","library or archives","90+",0
"59150033011","museum","90+",0
"59150033011","theatre/performance and concert hall","90+",0
"59150034001","gallery","75",234
"59150034001","library or archives","60",234
"59150034001","museum","60",234
"59150034001","theatre/performance and concert hall","90",234
"59150034002","gallery","30",47
"59150034002","library or archives","30",47
"59150034002","museum","30",47
"59150034002","theatre/performance and concert hall","60",47
"59150034003","gallery","45",153
"59150034003","library or archives","30",153
"59150034003","museum","30",153
"59150034003","theatre/performance and concert hall","60",153
"59150035005","gallery","45",0
"59150035005","library or archives","45",0
"59150035005","museum","45",0
"59150035005","theatre/performance and concert hall","75",0
"59150035008","gallery","45",100
"59150035008","library or archives","45",100
"59150035008","museum","45",100
"59150035008","theatre/performance and concert hall","60",100
"59150035011","gallery","45",0
"59150035011","library or archives","45",0
"59150035011","museum","45",0
"59150035011","theatre/performance and concert hall","75",0
"59150035012","gallery","45",202
"59150035012","library or archives","45",202
"59150035012","museum","45",202
"59150035012","theatre/performance and concert hall","75",202
"59150035013","gallery","45",0
"59150035013","library or archives","45",0
"59150035013","museum","45",0
"59150035013","theatre/performance and concert hall","75",0
"59150035014","gallery","45",0
"59150035014","library or archives","45",0
"59150035014","museum","45",0
"59150035014","theatre/performance and concert hall","75",0
"59150035015","gallery","90+",258
"59150035015","library or archives","90+",258
"59150035015","museum","90+",258
"59150035015","theatre/performance and concert hall","90+",258
"59150035016","gallery","90+",328
"59150035016","library or archives","90+",328
"59150035016","museum","90+",328
"59150035016","theatre/performance and concert hall","90+",328
"59150036001","gallery","45",43
"59150036001","library or archives","45",43
"59150036001","museum","45",43
"59150036001","theatre/performance and concert hall","60",43
"59150036002","gallery","45",124
"59150036002","library or archives","45",124
"59150036002","museum","45",124
"59150036002","theatre/performance and concert hall","60",124
"59150036003","gallery","45",41
"59150036003","library or archives","45",41
"59150036003","museum","45",41
"59150036003","theatre/performance and concert hall","60",41
"59150036004","gallery","30",81
"59150036004","library or archives","30",81
"59150036004","museum","30",81
"59150036004","theatre/performance and concert hall","60",81
"59150036005","gallery","30",108
"59150036005","library or archives","30",108
"59150036005","museum","30",108
"59150036005","theatre/performance and concert hall","60",108
"59150036006","gallery","30",93
"59150036006","library or archives","30",93
"59150036006","museum","30",93
"59150036006","theatre/performance and concert hall","60",93
"59150036007","gallery","30",85
"59150036007","library or archives","30",85
"59150036007","museum","30",85
"59150036007","theatre/performance and concert hall","60",85
"59150037001","gallery","45",39
"59150037001","library or archives","30",39
"59150037001","museum","45",39
"59150037001","theatre/performance and concert hall","60",39
"59150037002","gallery","45",45
"59150037002","library or archives","30",45
"59150037002","museum","30",45
"59150037002","theatre/performance and concert hall","60",45
"59150037003","gallery","45",54
"59150037003","library or archives","30",54
"59150037003","museum","30",54
"59150037003","theatre/performance and concert hall","60",54
"59150037004","gallery","30",68
"59150037004","library or archives","30",68
"59150037004","museum","30",68
"59150037004","theatre/performance and concert hall","60",68
"59150037005","gallery","30",80
"59150037005","library or archives","30",80
"59150037005","museum","30",80
"59150037005","theatre/performance and concert hall","60",80
"59150037006","gallery","45",125
"59150037006","library or archives","30",125
"59150037006","museum","30",125
"59150037006","theatre/performance and concert hall","60",125
"59150037007","gallery","45",37
"59150037007","library or archives","30",37
"59150037007","museum","45",37
"59150037007","theatre/performance and concert hall","60",37
"59150038001","gallery","30",88
"59150038001","library or archives","30",88
"59150038001","museum","30",88
"59150038001","theatre/performance and concert hall","45",88
"59150038002","gallery","30",82
"59150038002","library or archives","30",82
"59150038002","museum","30",82
"59150038002","theatre/performance and concert hall","45",82
"59150038003","gallery","30",88
"59150038003","library or archives","30",88
"59150038003","museum","30",88
"59150038003","theatre/performance and concert hall","45",88
"59150038004","gallery","30",85
"59150038004","library or archives","30",85
"59150038004","museum","30",85
"59150038004","theatre/performance and concert hall","45",85
"59150038005","gallery","30",71
"59150038005","library or archives","30",71
"59150038005","museum","30",71
"59150038005","theatre/performance and concert hall","45",71
"59150039001","gallery","30",54
"59150039001","library or archives","30",54
"59150039001","museum","30",54
"59150039001","theatre/performance and concert hall","60",54
"59150039002","gallery","30",70
"59150039002","library or archives","30",70
"59150039002","museum","30",70
"59150039002","theatre/performance and concert hall","45",70
"59150039003","gallery","30",68
"59150039003","library or archives","30",68
"59150039003","museum","30",68
"59150039003","theatre/performance and concert hall","45",68
"59150039004","gallery","30",10
"59150039004","library or archives","15",10
"59150039004","museum","15",10
"59150039004","theatre/performance and concert hall","45",10
"59150039005","gallery","30",61
"59150039005","library or archives","15",61
"59150039005","museum","15",61
"59150039005","theatre/performance and concert hall","45",61
"59150039006","gallery","30",65
"59150039006","library or archives","30",65
"59150039006","museum","15",65
"59150039006","theatre/performance and concert hall","60",65
"59150039007","gallery","30",53
"59150039007","library or archives","30",53
"59150039007","museum","30",53
"59150039007","theatre/performance and concert hall","60",53
"59150040003","gallery","30",0
"59150040003","library or archives","15",0
"59150040003","museum","15",0
"59150040003","theatre/performance and concert hall","45",0
"59150040004","gallery","30",37
"59150040004","library or archives","15",37
"59150040004","museum","15",37
"59150040004","theatre/performance and concert hall","45",37
"59150040005","gallery","30",33
"59150040005","library or archives","15",33
"59150040005","museum","15",33
"59150040005","theatre/performance and concert hall","45",33
"59150040006","gallery","30",18
"59150040006","library or archives","15",18
"59150040006","museum","15",18
"59150040006","theatre/performance and concert hall","45",18
"59150040009","gallery","30",317
"59150040009","library or archives","15",317
"59150040009","museum","15",317
"59150040009","theatre/performance and concert hall","45",317
"59150041004","gallery","30",111
"59150041004","library or archives","30",111
"59150041004","museum","15",111
"59150041004","theatre/performance and concert hall","45",111
"59150041006","gallery","45",341
"59150041006","library or archives","30",341
"59150041006","museum","15",341
"59150041006","theatre/performance and concert hall","60",341
"59150042001","gallery","30",117
"59150042001","library or archives","15",117
"59150042001","museum","15",117
"59150042001","theatre/performance and concert hall","45",117
"59150042002","gallery","30",42
"59150042002","library or archives","15",42
"59150042002","museum","15",42
"59150042002","theatre/performance and concert hall","45",42
"59150042006","gallery","15",25
"59150042006","library or archives","15",25
"59150042006","museum","15",25
"59150042006","theatre/performance and concert hall","45",25
"59150042007","gallery","30",25
"59150042007","library or archives","30",25
"59150042007","museum","15",25
"59150042007","theatre/performance and concert hall","45",25
"59150042008","gallery","15",21
"59150042008","library or archives","15",21
"59150042008","museum","15",21
"59150042008","theatre/performance and concert hall","45",21
"59150042011","gallery","30",152
"59150042011","library or archives","30",152
"59150042011","museum","15",152
"59150042011","theatre/performance and concert hall","45",152
"59150043004","gallery","15",535
"59150043004","library or archives","15",535
"59150043004","museum","15",535
"59150043004","theatre/performance and concert hall","45",535
"59150044001","gallery","15",0
"59150044001","library or archives","15",0
"59150044001","museum","15",0
"59150044001","theatre/performance and concert hall","45",0
"59150044002","gallery","15",142
"59150044002","library or archives","15",142
"59150044002","museum","15",142
"59150044002","theatre/performance and concert hall","45",142
"59150044003","gallery","15",346
"59150044003","library or archives","15",346
"59150044003","museum","15",346
"59150044003","theatre/performance and concert hall","45",346
"59150045001","gallery","15",286
"59150045001","library or archives","15",286
"59150045001","museum","15",286
"59150045001","theatre/performance and concert hall","45",286
"59150045002","gallery","15",141
"59150045002","library or archives","15",141
"59150045002","museum","15",141
"59150045002","theatre/performance and concert hall","30",141
"59150045003","gallery","15",10
"59150045003","library or archives","15",10
"59150045003","museum","15",10
"59150045003","theatre/performance and concert hall","30",10
"59150045004","gallery","15",168
"59150045004","library or archives","15",168
"59150045004","museum","15",168
