"fromId","type","time_groups","pop"
"2.92239953080915e-313","museum","45",17
"2.92239953080915e-313","theatre/performance and concert hall","60",17
"2.92239962932584e-313","gallery","30",512
"2.92239962932584e-313","library or archives","30",512
"2.92239962932584e-313","museum","30",512
"2.92239962932584e-313","theatre/performance and concert hall","45",512
"2.92239962937525e-313","gallery","30",55
"2.92239962937525e-313","library or archives","30",55
"2.92239962937525e-313","museum","30",55
"2.92239962937525e-313","theatre/performance and concert hall","45",55
"2.92239967858419e-313","gallery","30",30
"2.92239967858419e-313","library or archives","30",30
"2.92239967858419e-313","museum","30",30
"2.92239967858419e-313","theatre/performance and concert hall","45",30
"2.92239967912766e-313","gallery","30",123
"2.92239967912766e-313","library or archives","15",123
"2.92239967912766e-313","museum","30",123
"2.92239967912766e-313","theatre/performance and concert hall","45",123
"2.92239967917707e-313","gallery","30",66
"2.92239967917707e-313","library or archives","15",66
"2.92239967917707e-313","museum","30",66
"2.92239967917707e-313","theatre/performance and concert hall","45",66
"2.92239967922647e-313","gallery","30",25
"2.92239967922647e-313","library or archives","30",25
"2.92239967922647e-313","museum","30",25
"2.92239967922647e-313","theatre/performance and concert hall","45",25
"2.92239967927588e-313","gallery","30",19
"2.92239967927588e-313","library or archives","30",19
"2.92239967927588e-313","museum","30",19
"2.92239967927588e-313","theatre/performance and concert hall","45",19
"2.92239967937469e-313","gallery","30",60
"2.92239967937469e-313","library or archives","30",60
"2.92239967937469e-313","museum","30",60
"2.92239967937469e-313","theatre/performance and concert hall","45",60
"2.9223996794241e-313","gallery","30",109
"2.9223996794241e-313","library or archives","30",109
"2.9223996794241e-313","museum","30",109
"2.9223996794241e-313","theatre/performance and concert hall","45",109
"2.92239967947351e-313","gallery","30",10
"2.92239967947351e-313","library or archives","15",10
"2.92239967947351e-313","museum","15",10
"2.92239967947351e-313","theatre/performance and concert hall","45",10
"2.92239972799075e-313","gallery","30",30
"2.92239972799075e-313","library or archives","30",30
"2.92239972799075e-313","museum","30",30
"2.92239972799075e-313","theatre/performance and concert hall","45",30
"2.92239972804016e-313","gallery","30",61
"2.92239972804016e-313","library or archives","30",61
"2.92239972804016e-313","museum","30",61
"2.92239972804016e-313","theatre/performance and concert hall","45",61
"2.92239972808957e-313","gallery","30",29
"2.92239972808957e-313","library or archives","30",29
"2.92239972808957e-313","museum","30",29
"2.92239972808957e-313","theatre/performance and concert hall","45",29
"2.92239972818838e-313","gallery","30",55
"2.92239972818838e-313","library or archives","30",55
"2.92239972818838e-313","museum","30",55
"2.92239972818838e-313","theatre/performance and concert hall","45",55
"2.92239972823779e-313","gallery","30",71
"2.92239972823779e-313","library or archives","30",71
"2.92239972823779e-313","museum","30",71
"2.92239972823779e-313","theatre/performance and concert hall","45",71
"2.92239972828719e-313","gallery","30",66
"2.92239972828719e-313","library or archives","30",66
"2.92239972828719e-313","museum","30",66
"2.92239972828719e-313","theatre/performance and concert hall","45",66
"2.9223997283366e-313","gallery","30",15
"2.9223997283366e-313","library or archives","30",15
"2.9223997283366e-313","museum","30",15
"2.9223997283366e-313","theatre/performance and concert hall","45",15
"2.92239972843541e-313","gallery","30",96
"2.92239972843541e-313","library or archives","30",96
"2.92239972843541e-313","museum","30",96
"2.92239972843541e-313","theatre/performance and concert hall","45",96
"2.92239977739732e-313","gallery","45",19
"2.92239977739732e-313","library or archives","30",19
"2.92239977739732e-313","museum","30",19
"2.92239977739732e-313","theatre/performance and concert hall","60",19
"2.92239977754554e-313","gallery","30",21
"2.92239977754554e-313","library or archives","30",21
"2.92239977754554e-313","museum","30",21
"2.92239977754554e-313","theatre/performance and concert hall","60",21
"2.92239977759494e-313","gallery","30",61
"2.92239977759494e-313","library or archives","30",61
"2.92239977759494e-313","museum","30",61
"2.92239977759494e-313","theatre/performance and concert hall","60",61
"2.92239977764435e-313","gallery","30",49
"2.92239977764435e-313","library or archives","30",49
"2.92239977764435e-313","museum","30",49
"2.92239977764435e-313","theatre/performance and concert hall","60",49
"2.92239977769376e-313","gallery","45",68
"2.92239977769376e-313","library or archives","30",68
"2.92239977769376e-313","museum","45",68
"2.92239977769376e-313","theatre/performance and concert hall","60",68
"2.92239977774316e-313","gallery","30",70
"2.92239977774316e-313","library or archives","30",70
"2.92239977774316e-313","museum","30",70
"2.92239977774316e-313","theatre/performance and concert hall","60",70
"2.92239977779257e-313","gallery","30",50
"2.92239977779257e-313","library or archives","30",50
"2.92239977779257e-313","museum","30",50
"2.92239977779257e-313","theatre/performance and concert hall","60",50
"2.92239977784198e-313","gallery","30",47
"2.92239977784198e-313","library or archives","30",47
"2.92239977784198e-313","museum","30",47
"2.92239977784198e-313","theatre/performance and concert hall","45",47
"2.92239977789138e-313","gallery","30",50
"2.92239977789138e-313","library or archives","30",50
"2.92239977789138e-313","museum","30",50
"2.92239977789138e-313","theatre/performance and concert hall","45",50
"2.92239977794079e-313","gallery","30",66
"2.92239977794079e-313","library or archives","30",66
"2.92239977794079e-313","museum","30",66
"2.92239977794079e-313","theatre/performance and concert hall","60",66
"2.9223997779902e-313","gallery","30",5
"2.9223997779902e-313","library or archives","30",5
"2.9223997779902e-313","museum","30",5
"2.9223997779902e-313","theatre/performance and concert hall","60",5
"2.9223998269027e-313","gallery","30",187
"2.9223998269027e-313","library or archives","30",187
"2.9223998269027e-313","museum","30",187
"2.9223998269027e-313","theatre/performance and concert hall","60",187
"2.9223998269521e-313","gallery","45",65
"2.9223998269521e-313","library or archives","45",65
"2.9223998269521e-313","museum","45",65
"2.9223998269521e-313","theatre/performance and concert hall","60",65
"2.92239982700151e-313","gallery","45",24
"2.92239982700151e-313","library or archives","45",24
"2.92239982700151e-313","museum","45",24
"2.92239982700151e-313","theatre/performance and concert hall","60",24
"2.92239982719913e-313","gallery","45",404
"2.92239982719913e-313","library or archives","45",404
"2.92239982719913e-313","museum","45",404
"2.92239982719913e-313","theatre/performance and concert hall","60",404
"2.92239982724854e-313","gallery","60",0
"2.92239982724854e-313","library or archives","60",0
"2.92239982724854e-313","museum","60",0
"2.92239982724854e-313","theatre/performance and concert hall","75",0
"2.92239987621045e-313","gallery","45",80
"2.92239987621045e-313","library or archives","30",80
"2.92239987621045e-313","museum","45",80
"2.92239987621045e-313","theatre/performance and concert hall","60",80
"2.92239987635867e-313","gallery","30",37
"2.92239987635867e-313","library or archives","30",37
"2.92239987635867e-313","museum","30",37
"2.92239987635867e-313","theatre/performance and concert hall","60",37
"2.9223998766057e-313","gallery","30",45
"2.9223998766057e-313","library or archives","30",45
"2.9223998766057e-313","museum","30",45
"2.9223998766057e-313","theatre/performance and concert hall","45",45
"2.92239987665511e-313","gallery","45",105
"2.92239987665511e-313","library or archives","30",105
"2.92239987665511e-313","museum","45",105
"2.92239987665511e-313","theatre/performance and concert hall","60",105
"2.92239987670451e-313","gallery","45",133
"2.92239987670451e-313","library or archives","30",133
"2.92239987670451e-313","museum","45",133
"2.92239987670451e-313","theatre/performance and concert hall","60",133
"2.92239992566642e-313","gallery","60",56
"2.92239992566642e-313","library or archives","60",56
"2.92239992566642e-313","museum","60",56
